Route,Source,Destination,State From,State To,Distance,Vehicle,Type,Owner,Load Id,Payment,Posted On,Available On,Price,Price Per Mile,Count,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2015 CHEVROLET MALIBU,SUV,RCG Logistics LLC,RD47988A,30 Business Days,4h ago,5/Jan/23, 160 , 1.00 ,1," 3,660 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2010 TOYOTA COROLLA,SUV,RCG Logistics LLC,RD47991A,30 Business Days,4h ago,5/Jan/23, 160 , 1.00 ,1," 2,965 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Mcfarland, WI 53558","Janesville, WI 53546",WI,WI,45,2018 JEEP CHEROKEE,SUV,RCG Logistics LLC,RD47840A,30 Business Days,4h ago,5/Jan/23, 46 , 1.02 ,1," 4,046 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Appleton, WI 54914","Janesville, WI 53546",WI,WI,140,2014 FORD ESCAPE,SUV,RCG Logistics LLC,RD46272A,30 Business Days,4h ago,5/Jan/23, 160 , 1.14 ,1," 3,645 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2006 HONDA ACCORD,SUV,RCG Logistics LLC,RD52767A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 3,437 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2009 NISSAN Maxima,Sedan,RCG Logistics LLC,RD52766A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 3,579 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2011 CHEVROLET MALIBU,SUV,RCG Logistics LLC,RD52763A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 3,649 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2008 CHEVROLET EXPRESS 3500 VAN,SUV,RCG Logistics LLC,RD52768A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 5,244 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2018 DODGE CARAVAN,SUV,RCG Logistics LLC,RD52761A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 4,483 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2018 HONDA CIVIC (SEE ALS,SUV,RCG Logistics LLC,RD52765A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 3,010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Mcfarland, WI 53558","Janesville, WI 53546",WI,WI,45,2012 JEEP Compass MK49,SUV,RCG Logistics LLC,RD47499A,30 Business Days,4h ago,5/Jan/23, 46 , 1.02 ,1," 3,325 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2005 HONDA CIVIC (SEE ALS,SUV,RCG Logistics LLC,RD52762A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 2,782 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2015 GMC Terrain SLE 1 FWD,SUV,RCG Logistics LLC,RD51323A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,853 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2013 HYUNDAI SONATA,SUV,RCG Logistics LLC,RD51319A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,452 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Markham, IL 60428","Janesville, WI 53546",IL,WI,127,2002 GMC YUKON (STD WHL B,SUV,RCG Logistics LLC,RD52764A,30 Business Days,4h ago,5/Jan/23, 100 , 0.79 ,1," 5,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2015 HONDA CRV,SUV,RCG Logistics LLC,RD51295A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,624 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2015 CHEVY SONIC,SUV,RCG Logistics LLC,RD52593A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 2,847 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2016 CHEVROLET Traverse 1LT,SUV,RCG Logistics LLC,RD51320A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 4,956 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2012 CHRYSLER TOWN & COUN,SUV,RCG Logistics LLC,RD51321A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 4,652 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2012 MERCEDES-BENZ C-Class C300,Sedan,RCG Logistics LLC,RD51311A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2012 MERCEDES-BENZ C-Class C300,Sedan,RCG Logistics LLC,RD51311A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Appleton, WI 54914","Janesville, WI 53546",WI,WI,140,2008 TOYOTA CAMRY,SUV,RCG Logistics LLC,RD46271A,30 Business Days,4h ago,5/Jan/23, 160 , 1.14 ,1," 3,516 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2016 BUICK Verano Sport Touring (1SH),Sedan,RCG Logistics LLC,RD51317A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2013 CHEVROLET MALIBU,SUV,RCG Logistics LLC,RD51296A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,660 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Appleton, WI 54914","Janesville, WI 53546",WI,WI,140,2011 BUICK REGAL,SUV,RCG Logistics LLC,RD46273A,30 Business Days,4h ago,5/Jan/23, 160 , 1.14 ,1," 3,671 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2015 CHEVROLET Cruze LS (Automatic),Sedan,RCG Logistics LLC,RD51309A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,093 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2017 BUICK LACROSSE,SUV,RCG Logistics LLC,RD51305A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,850 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2013 CHEVROLET CRUZE,SUV,RCG Logistics LLC,RD51302A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,155 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2012 FORD TAURUS (SEDAN),SUV,RCG Logistics LLC,RD51313A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 4,224 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2004 BUICK LESABRE (80 & UP),SUV,RCG Logistics LLC,RD43992A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 3,591 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2007 TOYOTA Camry,Sedan,RCG Logistics LLC,RD51316A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,516 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Caledonia, WI 53108","Milwaukee, WI 53221",WI,WI,9,2015 SUBARU IMPREZA,SUV,RCG Logistics LLC,RD42985A,QuickPay,4h ago,5/Jan/23, 90 , 10.00 ,1," 3,131 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"East Dundee, IL 60118","Janesville, WI 53546",IL,WI,66,2005 FORD E250 VAN,SUV,RCG Logistics LLC,RD45479A,QuickPay,4h ago,5/Jan/23, 132 , 2.00 ,1," 5,366 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2015 CHEVROLET Impala Limited LT Fleet,Sedan,RCG Logistics LLC,RD51312A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,867 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2020 CHEVROLET MALIBU,SUV,RCG Logistics LLC,RD51303A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,223 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2017 KIA SOUL,SUV,RCG Logistics LLC,RD51294A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,232 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2015 HONDA ACCORD,SUV,RCG Logistics LLC,RD51301A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,559 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2017 HYUNDAI Sonata SE,Sedan,RCG Logistics LLC,RD51314A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 3,250 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Mcfarland, WI 53558","Janesville, WI 53546",WI,WI,45,2015 FORD Focus SE,Sedan,RCG Logistics LLC,RD47498A,30 Business Days,4h ago,5/Jan/23, 46 , 1.02 ,1," 2,960 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Mcfarland, WI 53558","Janesville, WI 53546",WI,WI,45,2017 HYUNDAI Elantra,Sedan,RCG Logistics LLC,RD47500A,30 Business Days,4h ago,5/Jan/23, 46 , 1.02 ,1," 3,109 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Mcfarland, WI 53558","Janesville, WI 53546",WI,WI,45,2013 FORD F-150,Pickup (2 doors),RCG Logistics LLC,RD47501A,30 Business Days,4h ago,5/Jan/23, 46 , 1.02 ,1," 6,113 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Mcfarland, WI 53558","Janesville, WI 53546",WI,WI,45,2011 JEEP Liberty KK,SUV,RCG Logistics LLC,RD47497A,30 Business Days,4h ago,5/Jan/23, 46 , 1.02 ,1," 4,290 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Appleton, WI 54914","Janesville, WI 53546",WI,WI,140,2013 KIA SORENTO,SUV,RCG Logistics LLC,RD46270A,30 Business Days,4h ago,5/Jan/23, 160 , 1.14 ,1," 4,131 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Appleton, WI 54914","Janesville, WI 53546",WI,WI,141,2015 CHEVROLET Equinox,SUV,2013 CADILLAC SRX,RCG Logistics LLC,30 Business Days,4h ago,5/Jan/23, 240 , 1.70 ,1," 3,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Elgin, IL 60120","Janesville, WI 53546",IL,WI,74,2011 MERCEDES-BENZ Sprinter C2500,SUV,RCG Logistics LLC,RD47214A,QuickPay,4h ago,5/Jan/23, 117 , 1.58 ,1," 8,550 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Appleton, WI 54914","Janesville, WI 53546",WI,WI,140,2016 SUBARU FORESTER,SUV,RCG Logistics LLC,RD51262A,30 Business Days,4h ago,5/Jan/23, 81 , 0.58 ,1," 3,651 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2005 BUICK RENDEZVOUS,SUV,RCG Logistics LLC,RD43963A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 4,272 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2001 GMC PICKUP SIERRA 1500 (99-CURRENT),SUV,RCG Logistics LLC,RD44034A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 5,099 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2007 DODGE DURANGO,SUV,RCG Logistics LLC,RD43919A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 5,133 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2008 PONTIAC G6 GT Coupe,Coupe (2 doors),RCG Logistics LLC,RD43944A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 3,855 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Franklin, WI 53132","Hustisford, WI 53034",WI,WI,57,2002 TOYOTA Tundra,Pickup (2 doors),RCG Logistics LLC,RD51298A,30 Business Days,4h ago,5/Jan/23, 60 , 1.05 ,1," 4,644 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2004 DODGE Dakota ND,Pickup (2 doors),RCG Logistics LLC,RD43922A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 4,463 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Appleton, WI 54914","Hustisford, WI 53034",WI,WI,71,2014 CHEVROLET EQUINOX,SUV,RCG Logistics LLC,RD50181A,30 Business Days,4h ago,5/Jan/23, 80 , 1.13 ,1," 3,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2012 FORD FUSION,SUV,RCG Logistics LLC,RD43937A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 3,803 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2003 CADILLAC CTS,Sedan,RCG Logistics LLC,RD43949A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 3,509 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2008 FORD ESCAPE,SUV,RCG Logistics LLC,RD44035A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 3,547 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2008 CADILLAC STS,SUV,RCG Logistics LLC,RD43991A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 4,221 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - WI,"Davenport, IA 52802","Janesville, WI 53546",IA,WI,160,2015 VOLKSWAGEN JETTA,SUV,RCG Logistics LLC,RD43948A,30 Business Days,4h ago,5/Jan/23, 168 , 1.05 ,1," 3,296 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - FL,"Dallas, TX 75261","Fort Lauderdale, FL 33328",TX,FL,1313,2019 Land rover Range Rover,SUV,Easy Auto Ship,28992063,COD,4h ago,ASAP, 850 , 0.65 ,1," 5,745 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - OK,"Odessa, TX 79763","El Reno, OK 73036",TX,OK,446,2017 GMC Sierra 1500,Pickup (4 doors),USHIP LOGISTICS LLC,VIP - H4450266,5 Business Days,4h ago,5/Jan/23, 600 , 1.35 ,1," 5,509 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL - FL,"Orlando, FL 32837","Sanford, FL 32771",FL,FL,36,2020 Kia Soul,SUV,CG Auto Logistics Inc,107613,ACH,4h ago,ASAP, 45 , 1.25 ,1," 3,036 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS - MN,"Overland Park, KS 66204","Minneapolis, MN 55417",KS,MN,445,2023 Volvo XC60,SUV,Motown Freight and Transport LLC,Nielson,COD,4h ago,ASAP, 450 , 1.01 ,1," 4,306 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN - GA,"Madison, TN 37115","Augusta, GA 30909",TN,GA,402,2014 Infiniti Q50,Sedan,BacklotCars Inc,B801474,ACH,4h ago,ASAP, 388 , 0.97 ,1," 3,849 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS - WA,"Olathe, KS 66062","Bothell, WA 98011",KS,WA,1896,2017 Jeep Wrangler,SUV,ACME Car Shipping,234962,15 Business Days,4h ago,13/Jan/23," 1,300 ", 0.69 ,1," 4,921 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY - NV,"Hebron, KY 41048","Las Vegas, NV 89109",KY,NV,1945,2019 Polaris GEM E6,Sedan,2019 Polaris GEM E6,,10 Business Days,4h ago,ASAP," 3,600 ", 1.85 ,1," 3,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA - OR,"Chehalis, WA 98532","Timber, OR 97144",WA,OR,88,2010 Ford Ranger,Pickup (4 doors),USHIP LOGISTICS LLC,370891834,5 Business Days,4h ago,ASAP, 425 , 4.83 ,1," 3,606 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL - FL,"Tampa, FL 33619","Sanford, FL 32771",FL,FL,115,2017 Kia Forte,Sedan,2018 Ram 1500,,ACH,4h ago,ASAP, 270 , 2.35 ,1," 2,844 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO - KS,"Pueblo, CO 81008","Wichita, KS 67213",CO,KS,433,2010 Ford Explorer,SUV,BacklotCars Inc,I741197,ACH,4h ago,ASAP, 413 , 0.95 ,1," 4,632 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH - MN,"Grove City, OH 43123","Brooklyn Center, MN 55429",OH,MN,782,2019 Toyota Highlander,SUV,Mottinger Auto Transport LLC,12437,15 Business Days,4h ago,5/Jan/23, 625 , 0.80 ,1," 4,508 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA - GA,"North Dighton, MA 02764","Atlanta, GA 30328",MA,GA,1084,2021 Toyota Highlander,SUV,First Class Auto Transport,4596,5 Business Days,4h ago,ASAP, 950 , 0.88 ,1," 4,450 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA - FL,"Atlanta, GA 30331","Clearwater, FL 33760",GA,FL,480,2020 Nissan Altima,Sedan,2018 Chevrolet Malibu,,15 Business Days,4h ago,ASAP," 1,125 ", 2.34 ,1," 3,461 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH - AZ,"Cincinnati, OH 45203","Scottsdale, AZ 85251",OH,AZ,1809,2019 Polaris GEM E6,Sedan,2019 Polaris GEM E6,,10 Business Days,4h ago,ASAP," 5,000 ", 2.76 ,1," 3,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY - NV,"Hebron, KY 41048","Las Vegas, NV 89109",KY,NV,1945,2019 Polaris GEM E6,Sedan,2019 Polaris GEM E6,,10 Business Days,4h ago,ASAP," 5,250 ", 2.70 ,1," 3,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - NH,"Syosset, NY 11791","Manchester, NH 03103",NY,NH,261,2021 Mercedes-Benz Sprinter Cargo,Van,2021 Ram ProMaster Cargo,,30 Business Days,4h ago,5/Jan/23," 1,050 ", 4.02 ,1," 6,074 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL - FL,"Sanford, FL 32711","Orlando, FL 32824",FL,FL,38,2020 Chevrolet Equinox,SUV,CG Auto Logistics Inc,107590,ACH,4h ago,ASAP, 45 , 1.18 ,1," 3,665 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - NH,"Syosset, NY 11791","Manchester, NH 03103",NY,NH,261,2021 Ram ProMaster Cargo,Van,2020 Ford Transit Cargo,,30 Business Days,4h ago,5/Jan/23," 1,050 ", 4.02 ,1," 9,350 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - CA,"Franklin, WI 53132","San Jose, CA 95119",WI,CA,2201,2017 Subaru Outback,SUV,Easy Auto Ship,28901047,COD,4h ago,ASAP," 1,600 ", 0.73 ,1," 3,856 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA - IL,"Pittsburgh, PA 15226","Carol Stream, IL 60188",PA,IL,497,2008 CHEVROLET Corvette,Coupe (2 doors),RCG Logistics LLC,RD53227A,30 Business Days,4h ago,11/Jan/23, 550 , 1.11 ,1," 3,199 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV - PA,"South Charleston, WV 25309","Manheim, PA 17545",WV,PA,394,2021 Mercedes-Benz GLS,SUV,Loyal Transportation Inc,LT-31785,10 Business Days,4h ago,ASAP, 450 , 1.14 ,1," 6,085 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - NH,"Syosset, NY 11791","Manchester, NH 03103",NY,NH,261,2021 Mercedes-Benz Sprinter Cargo,Van,2021 Mercedes-Benz Sprinter Cargo,Baier Automotive Logistics,30 Business Days,4h ago,5/Jan/23, 700 , 2.68 ,1," 6,074 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH - VA,"Grove City, OH 43123","Warrenton, VA 20187",OH,VA,370,2016 Chevrolet Colorado,Pickup (4 doors),Diesel Up,1292435,15 Business Days,4h ago,ASAP, 475 , 1.28 ,1," 4,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT - CA,"Park City, UT 84098","Carlsbad, CA 92011",UT,CA,743,1984 VOLKSWAGEN Vanagon,Other,RCG Logistics LLC,RD53235A,30 Business Days,4h ago,ASAP, 500 , 0.67 ,1," 3,296 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - WI,"Elgin, IL 60120","Elk Mound, WI 54739",IL,WI,297,2014 CHEVROLET Impala Limited LTZ,Sedan,RCG Logistics LLC,RD53373A,30 Business Days,4h ago,ASAP, 300 , 1.01 ,1," 3,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN - FL,"Evansville, IN 47715","Apollo Beach, FL 33572",IN,FL,872,2021 Porsche Macan,SUV,Loyal Transportation Inc,LT-31754,10 Business Days,4h ago,ASAP," 1,425 ", 1.63 ,1," 4,430 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ - WV,"Eatontown, NJ 07724","Morgantown, WV 26505",NJ,WV,374,2019 Ford Escape,SUV,AUTO TRANSPORT JUNCTION,206542,10 Business Days,4h ago,ASAP, 400 , 1.07 ,1," 3,755 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - MO,"Tyler, TX 75701","Springfield, MO 65802",TX,MO,457,2012 Toyota Prius,Sedan,BacklotCars Inc,A824637,ACH,4h ago,ASAP, 325 , 0.71 ,1," 3,042 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC - GA,"Taylorsville, NC 28681","Jekyll Island, GA 31527",NC,GA,394,1997 Ford Crown Victoria,Sedan,T&J Auto Transport LLC,6993,10 Business Days,4h ago,1/Feb/23, 450 , 1.14 ,1," 3,781 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC - FL,"Irmo, SC 29063","Jacksonville, FL 32256",SC,FL,311,2008 Toyota Highlander,SUV,BacklotCars Inc,A555297,ACH,4h ago,ASAP, 345 , 1.11 ,1," 4,321 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - TX,"Addison, TX 75001","Silsbee, TX 77656",TX,TX,287,2016 Toyota Corolla,Sedan,Dealer Trade Houston,11678,10 Business Days,4h ago,ASAP, 200 , 0.70 ,1," 2,875 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - FL,"Rochester, NY 14618","Fort Lauderdale, FL 33316",NY,FL,1445,2023 ezgo golf cart 6 seater,Sedan,Easy Auto Ship,28575506,COD,4h ago,ASAP, 950 , 0.66 ,1, 984 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - AZ,"Hayward, CA 94544","Gilbert, AZ 85297",CA,AZ,770,2021 Hyundai VENUE,SUV,Bill Luke Auto Group,10786,10 Business Days,4h ago,ASAP, 650 , 0.84 ,1," 2,612 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL - NV,"Pompano Beach, FL 33064","Reno, NV 89509",FL,NV,2986,2018 toyota Highlander,Sedan,Easy Auto Ship,28727537,COD,4h ago,ASAP," 1,400 ", 0.47 ,1," 4,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT - FL,"Darien, CT 06820","Vero Beach, FL 32963",CT,FL,1210,2015 Jeep Grand Cherokee,SUV,Loyal Transportation Inc,LT-31694,10 Business Days,4h ago,20/Jan/23," 1,200 ", 0.99 ,1," 6,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - OR,"Grapevine, TX 76051","Bend, OR 97703",TX,OR,1894,1985 Chevrolet Blazer K5,SUV,CREE Classic Cars LLC,23-010,QuickPay,4h ago,ASAP," 1,250 ", 0.66 ,1," 4,641 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO - FL,"Saint Charles, MO 63301","Navarre, FL 32566",MO,FL,750,1990 Chevrolet C-1500,Pickup (2 doors),CREE Classic Cars LLC,23-004,QuickPay,4h ago,ASAP," 1,100 ", 1.47 ,1," 5,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
